Week,china,putin,iran,refugee,syria
2010-07-04 - 2010-07-10,47,0,8,1,2
2010-07-11 - 2010-07-17,52,0,8,1,2
2010-07-18 - 2010-07-24,54,0,7,1,2
2010-07-25 - 2010-07-31,49,1,7,1,2
2010-08-01 - 2010-08-07,50,1,8,1,2
2010-08-08 - 2010-08-14,50,1,8,1,2
2010-08-15 - 2010-08-21,51,1,9,1,2
2010-08-22 - 2010-08-28,54,1,9,1,2
2010-08-29 - 2010-09-04,50,1,8,1,2
2010-09-05 - 2010-09-11,48,1,9,1,1
2010-09-12 - 2010-09-18,49,1,8,1,2
2010-09-19 - 2010-09-25,51,1,9,1,2
2010-09-26 - 2010-10-02,51,1,9,1,2
2010-10-03 - 2010-10-09,54,1,8,1,2
2010-10-10 - 2010-10-16,54,1,8,1,2
2010-10-17 - 2010-10-23,53,1,7,1,2
2010-10-24 - 2010-10-30,50,1,7,1,2
2010-10-31 - 2010-11-06,53,1,7,1,2
2010-11-07 - 2010-11-13,53,1,8,1,2
2010-11-14 - 2010-11-20,54,1,7,1,1
2010-11-21 - 2010-11-27,52,1,7,1,2
2010-11-28 - 2010-12-04,51,2,8,1,2
2010-12-05 - 2010-12-11,51,1,8,1,2
2010-12-12 - 2010-12-18,48,2,7,1,2
2010-12-19 - 2010-12-25,45,1,7,1,2
2010-12-26 - 2011-01-01,48,1,7,1,2
2011-01-02 - 2011-01-08,50,1,8,1,2
2011-01-09 - 2011-01-15,50,1,8,1,2
2011-01-16 - 2011-01-22,52,1,8,1,2
2011-01-23 - 2011-01-29,49,1,7,1,2
2011-01-30 - 2011-02-05,48,1,8,1,2
2011-02-06 - 2011-02-12,48,1,8,1,2
2011-02-13 - 2011-02-19,51,1,11,1,2
2011-02-20 - 2011-02-26,50,1,9,1,2
2011-02-27 - 2011-03-05,50,1,8,1,2
2011-03-06 - 2011-03-12,55,1,7,1,2
2011-03-13 - 2011-03-19,54,1,7,1,2
2011-03-20 - 2011-03-26,51,1,7,1,4
2011-03-27 - 2011-04-02,53,1,6,1,4
2011-04-03 - 2011-04-09,50,1,6,1,3
2011-04-10 - 2011-04-16,52,1,6,1,3
2011-04-17 - 2011-04-23,51,1,6,1,3
2011-04-24 - 2011-04-30,49,1,6,1,4
2011-05-01 - 2011-05-07,48,1,7,1,3
2011-05-08 - 2011-05-14,50,1,7,1,3
2011-05-15 - 2011-05-21,50,1,7,1,3
2011-05-22 - 2011-05-28,49,1,6,1,2
2011-05-29 - 2011-06-04,49,1,6,1,3
2011-06-05 - 2011-06-11,49,0,6,1,3
2011-06-12 - 2011-06-18,49,1,6,1,3
2011-06-19 - 2011-06-25,48,1,6,1,3
2011-06-26 - 2011-07-02,49,1,6,1,2
2011-07-03 - 2011-07-09,47,0,6,1,2
2011-07-10 - 2011-07-16,48,1,6,1,2
2011-07-17 - 2011-07-23,48,1,6,1,2
2011-07-24 - 2011-07-30,51,1,6,1,2
2011-07-31 - 2011-08-06,49,1,6,1,3
2011-08-07 - 2011-08-13,49,1,7,1,3
2011-08-14 - 2011-08-20,52,1,6,1,3
2011-08-21 - 2011-08-27,49,1,6,1,3
2011-08-28 - 2011-09-03,49,1,9,1,2
2011-09-04 - 2011-09-10,49,1,7,1,2
