Week,brexit,zika,migrant,gold,oil
2009-09-13 - 2009-09-19,0,0,0,49,32
2009-09-20 - 2009-09-26,0,0,0,49,32
2009-09-27 - 2009-10-03,0,0,0,46,31
2009-10-04 - 2009-10-10,0,0,0,49,31
2009-10-11 - 2009-10-17,0,0,0,49,32
2009-10-18 - 2009-10-24,0,0,0,45,32
2009-10-25 - 2009-10-31,0,0,0,45,32
2009-11-01 - 2009-11-07,0,0,0,46,31
2009-11-08 - 2009-11-14,0,0,0,49,31
2009-11-15 - 2009-11-21,0,0,0,49,31
2009-11-22 - 2009-11-28,0,0,0,50,29
2009-11-29 - 2009-12-05,0,0,0,53,30
2009-12-06 - 2009-12-12,0,0,0,51,31
2009-12-13 - 2009-12-19,0,0,0,50,29
2009-12-20 - 2009-12-26,0,0,0,49,26
2009-12-27 - 2010-01-02,0,0,0,50,29
2010-01-03 - 2010-01-09,0,0,0,49,32
2010-01-10 - 2010-01-16,0,0,0,47,32
2010-01-17 - 2010-01-23,0,0,0,47,31
2010-01-24 - 2010-01-30,0,0,0,47,32
2010-01-31 - 2010-02-06,0,0,0,49,33
2010-02-07 - 2010-02-13,0,0,0,50,31
2010-02-14 - 2010-02-20,0,0,0,59,31
2010-02-21 - 2010-02-27,0,0,0,56,31
2010-02-28 - 2010-03-06,0,0,0,59,32
2010-03-07 - 2010-03-13,0,0,0,50,32
2010-03-14 - 2010-03-20,0,0,0,54,31
2010-03-21 - 2010-03-27,0,0,0,52,32
2010-03-28 - 2010-04-03,0,0,0,54,33
2010-04-04 - 2010-04-10,0,0,0,52,33
2010-04-11 - 2010-04-17,0,0,0,50,31
2010-04-18 - 2010-04-24,0,0,0,49,34
2010-04-25 - 2010-05-01,0,0,0,49,47
2010-05-02 - 2010-05-08,0,0,0,52,61
2010-05-09 - 2010-05-15,0,0,0,55,52
2010-05-16 - 2010-05-22,0,0,0,53,53
2010-05-23 - 2010-05-29,0,0,0,51,68
2010-05-30 - 2010-06-05,0,0,0,50,75
2010-06-06 - 2010-06-12,0,0,0,50,70
2010-06-13 - 2010-06-19,0,0,0,50,60
2010-06-20 - 2010-06-26,0,0,0,49,54
2010-06-27 - 2010-07-03,0,0,0,50,47
2010-07-04 - 2010-07-10,0,0,0,51,45
2010-07-11 - 2010-07-17,0,0,0,51,51
2010-07-18 - 2010-07-24,0,0,0,52,43
2010-07-25 - 2010-07-31,0,0,0,53,40
2010-08-01 - 2010-08-07,0,0,0,52,37
2010-08-08 - 2010-08-14,0,0,0,51,35
2010-08-15 - 2010-08-21,0,0,0,51,35
2010-08-22 - 2010-08-28,0,0,0,49,34
2010-08-29 - 2010-09-04,0,0,0,50,38
2010-09-05 - 2010-09-11,0,0,0,50,34
2010-09-12 - 2010-09-18,0,0,0,51,35
2010-09-19 - 2010-09-25,0,0,0,52,35
2010-09-26 - 2010-10-02,0,0,0,50,34
2010-10-03 - 2010-10-09,0,0,0,53,35
2010-10-10 - 2010-10-16,0,0,0,52,35
2010-10-17 - 2010-10-23,0,0,0,50,34
2010-10-24 - 2010-10-30,0,0,0,49,33
2010-10-31 - 2010-11-06,0,0,0,53,34
2010-11-07 - 2010-11-13,0,0,0,55,33
2010-11-14 - 2010-11-20,0,0,0,52,33
2010-11-21 - 2010-11-27,0,0,0,51,32
2010-11-28 - 2010-12-04,0,0,0,52,34
2010-12-05 - 2010-12-11,0,0,0,54,34
2010-12-12 - 2010-12-18,0,0,0,53,33
2010-12-19 - 2010-12-25,0,0,0,54,31
2010-12-26 - 2011-01-01,0,0,0,57,31
2011-01-02 - 2011-01-08,0,0,0,56,36
2011-01-09 - 2011-01-15,0,0,0,53,35
2011-01-16 - 2011-01-22,0,0,0,52,34
2011-01-23 - 2011-01-29,0,0,0,52,36
2011-01-30 - 2011-02-05,0,0,0,52,36
2011-02-06 - 2011-02-12,0,0,0,52,35
2011-02-13 - 2011-02-19,0,0,0,53,35
2011-02-20 - 2011-02-26,0,0,0,52,40
2011-02-27 - 2011-03-05,0,0,0,52,39
2011-03-06 - 2011-03-12,0,0,0,51,40
2011-03-13 - 2011-03-19,0,0,0,51,36
2011-03-20 - 2011-03-26,0,0,0,51,37
2011-03-27 - 2011-04-02,0,0,0,50,36
2011-04-03 - 2011-04-09,0,0,0,50,36
2011-04-10 - 2011-04-16,0,0,0,52,37
2011-04-17 - 2011-04-23,0,0,0,57,37
2011-04-24 - 2011-04-30,0,0,0,53,35
2011-05-01 - 2011-05-07,0,0,0,55,37
2011-05-08 - 2011-05-14,0,0,0,52,37
2011-05-15 - 2011-05-21,0,0,0,51,36
2011-05-22 - 2011-05-28,0,0,0,50,34
2011-05-29 - 2011-06-04,0,0,0,50,34
2011-06-05 - 2011-06-11,0,0,0,54,35
2011-06-12 - 2011-06-18,0,0,0,55,34
2011-06-19 - 2011-06-25,0,0,0,59,35
2011-06-26 - 2011-07-02,0,0,0,55,34
2011-07-03 - 2011-07-09,0,0,0,52,35
2011-07-10 - 2011-07-16,0,0,0,54,35
2011-07-17 - 2011-07-23,0,0,0,56,35
2011-07-24 - 2011-07-30,0,0,0,56,35
2011-07-31 - 2011-08-06,0,0,0,59,35
2011-08-07 - 2011-08-13,0,0,0,70,37
2011-08-14 - 2011-08-20,0,0,0,64,36
2011-08-21 - 2011-08-27,0,0,0,68,36
2011-08-28 - 2011-09-03,0,0,0,57,34
2011-09-04 - 2011-09-10,0,0,0,59,34
2011-09-11 - 2011-09-17,0,0,0,58,34
2011-09-18 - 2011-09-24,0,0,0,60,35
2011-09-25 - 2011-10-01,0,0,0,68,35
2011-10-02 - 2011-10-08,0,0,0,59,36
2011-10-09 - 2011-10-15,0,0,0,55,35
2011-10-16 - 2011-10-22,0,0,0,54,35
2011-10-23 - 2011-10-29,0,0,0,56,35
2011-10-30 - 2011-11-05,0,0,0,56,36
2011-11-06 - 2011-11-12,0,0,0,56,35
2011-11-13 - 2011-11-19,0,0,0,56,36
2011-11-20 - 2011-11-26,0,0,0,56,34
2011-11-27 - 2011-12-03,0,0,0,56,35
2011-12-04 - 2011-12-10,0,0,0,57,35
2011-12-11 - 2011-12-17,0,0,0,61,34
2011-12-18 - 2011-12-24,0,0,0,58,33
2011-12-25 - 2011-12-31,0,0,0,62,33
2012-01-01 - 2012-01-07,0,0,0,59,37
2012-01-08 - 2012-01-14,0,0,0,56,36
